User_ID,Step_Name,Time_Spent_Sec,Completion_Status
1,Add User and Car info ,86,Completed
1,Checkout (Payment),35,Completed
1,Confirm Coverages,138,Completed
1,Plan Selection,293,Completed
2,Add User and Car info ,90,Completed
2,Checkout (Payment),68,Completed
2,Confirm Coverages,69,Completed
2,Plan Selection,159,Completed
3,Add User and Car info ,88,Completed
3,Checkout (Payment),52,Completed
3,Confirm Coverages,90,Completed
3,Plan Selection,141,Completed
4,Add User and Car info ,43,Completed
4,Checkout (Payment),36,Completed
4,Confirm Coverages,180,Completed
4,Plan Selection,100,Completed
5,Add User and Car info ,97,Completed
5,Checkout (Payment),27,Completed
5,Confirm Coverages,250,Completed
5,Plan Selection,100,Completed
6,Add User and Car info ,118,Completed
6,Checkout (Payment),34,Completed
6,Confirm Coverages,112,Completed
6,Plan Selection,223,Completed
7,Add User and Car info ,90,Completed
7,Checkout (Payment),15,Completed
7,Confirm Coverages,53,Completed
7,Plan Selection,316,Completed
8,Add User and Car info ,76,Completed
8,Checkout (Payment),20,Completed
8,Confirm Coverages,231,Completed
8,Plan Selection,272,Completed
9,Add User and Car info ,68,Completed
9,Checkout (Payment),125,Completed
9,Confirm Coverages,138,Completed
9,Plan Selection,191,Completed
10,Add User and Car info ,104,Completed
10,Checkout (Payment),125,Completed
10,Confirm Coverages,112,Completed
10,Plan Selection,101,Completed
11,Add User and Car info ,76,Completed
11,Checkout (Payment),117,Completed
11,Confirm Coverages,87,Completed
11,Plan Selection,153,Completed
12,Add User and Car info ,82,Completed
12,Checkout (Payment),11,Completed
12,Confirm Coverages,116,Completed
12,Plan Selection,128,Completed
13,Add User and Car info ,86,Completed
13,Checkout (Payment),21,Completed
13,Confirm Coverages,59,Completed
13,Plan Selection,299,Completed
14,Add User and Car info ,41,Completed
14,Checkout (Payment),148,Completed
14,Confirm Coverages,104,Completed
14,Plan Selection,220,Completed
15,Add User and Car info ,52,Completed
15,Checkout (Payment),115,Completed
15,Confirm Coverages,230,Completed
15,Plan Selection,136,Completed
16,Add User and Car info ,94,Completed
16,Checkout (Payment),29,Completed
16,Confirm Coverages,206,Completed
16,Plan Selection,167,Completed
17,Add User and Car info ,47,Completed
17,Checkout (Payment),59,Completed
17,Confirm Coverages,66,Completed
17,Plan Selection,350,Completed
18,Add User and Car info ,36,Completed
18,Checkout (Payment),31,Completed
18,Confirm Coverages,184,Completed
18,Plan Selection,217,Completed
19,Add User and Car info ,61,Completed
19,Checkout (Payment),66,Completed
19,Confirm Coverages,171,Completed
19,Plan Selection,246,Completed
20,Add User and Car info ,32,Completed
20,Checkout (Payment),15,Completed
20,Confirm Coverages,189,Completed
20,Plan Selection,95,Completed
21,Add User and Car info ,43,Completed
21,Checkout (Payment),108,Abandoned
21,Confirm Coverages,228,Completed
21,Plan Selection,277,Completed
22,Add User and Car info ,112,Completed
22,Checkout (Payment),36,Abandoned
22,Confirm Coverages,50,Completed
22,Plan Selection,287,Completed
23,Add User and Car info ,73,Completed
23,Checkout (Payment),115,Abandoned
23,Confirm Coverages,230,Completed
23,Plan Selection,299,Completed
24,Add User and Car info ,100,Completed
24,Checkout (Payment),124,Abandoned
24,Confirm Coverages,84,Completed
24,Plan Selection,314,Completed
25,Add User and Car info ,106,Completed
25,Checkout (Payment),140,Abandoned
25,Confirm Coverages,89,Completed
25,Plan Selection,169,Completed
26,Add User and Car info ,97,Completed
26,Checkout (Payment),107,Abandoned
26,Confirm Coverages,131,Completed
26,Plan Selection,201,Completed
27,Add User and Car info ,72,Completed
27,Checkout (Payment),36,Abandoned
27,Confirm Coverages,101,Completed
27,Plan Selection,226,Completed
28,Add User and Car info ,59,Completed
28,Checkout (Payment),58,Abandoned
28,Confirm Coverages,223,Completed
28,Plan Selection,90,Completed
29,Add User and Car info ,76,Completed
29,Checkout (Payment),60,Abandoned
29,Confirm Coverages,63,Completed
29,Plan Selection,311,Completed
30,Add User and Car info ,81,Completed
30,Checkout (Payment),138,Abandoned
30,Confirm Coverages,105,Completed
30,Plan Selection,243,Completed
31,Add User and Car info ,85,Completed
31,Checkout (Payment),78,Abandoned
31,Confirm Coverages,225,Completed
31,Plan Selection,253,Completed
32,Add User and Car info ,94,Completed
32,Checkout (Payment),20,Abandoned
32,Confirm Coverages,235,Completed
32,Plan Selection,338,Completed
33,Add User and Car info ,113,Completed
33,Checkout (Payment),29,Abandoned
33,Confirm Coverages,226,Completed
33,Plan Selection,88,Completed
34,Add User and Car info ,99,Completed
34,Checkout (Payment),124,Abandoned
34,Confirm Coverages,115,Completed
34,Plan Selection,284,Completed
35,Add User and Car info ,62,Completed
35,Checkout (Payment),84,Abandoned
35,Confirm Coverages,65,Completed
35,Plan Selection,327,Completed
36,Add User and Car info ,50,Completed
36,Checkout (Payment),120,Abandoned
36,Confirm Coverages,243,Completed
36,Plan Selection,298,Completed
37,Add User and Car info ,60,Completed
37,Checkout (Payment),97,Abandoned
37,Confirm Coverages,67,Completed
37,Plan Selection,166,Completed
38,Add User and Car info ,76,Completed
38,Checkout (Payment),69,Abandoned
38,Confirm Coverages,182,Completed
38,Plan Selection,329,Completed
39,Add User and Car info ,45,Completed
39,Checkout (Payment),112,Abandoned
39,Confirm Coverages,118,Completed
39,Plan Selection,241,Completed
40,Add User and Car info ,102,Completed
40,Checkout (Payment),21,Abandoned
40,Confirm Coverages,160,Completed
40,Plan Selection,202,Completed
41,Add User and Car info ,48,Completed
41,Checkout (Payment),91,Abandoned
41,Confirm Coverages,71,Completed
41,Plan Selection,287,Completed
42,Add User and Car info ,59,Completed
42,Checkout (Payment),96,Abandoned
42,Confirm Coverages,61,Completed
42,Plan Selection,311,Completed
43,Add User and Car info ,70,Completed
43,Checkout (Payment),125,Abandoned
43,Confirm Coverages,237,Completed
43,Plan Selection,349,Completed
44,Add User and Car info ,87,Completed
44,Checkout (Payment),53,Abandoned
44,Confirm Coverages,177,Completed
44,Plan Selection,156,Completed
45,Add User and Car info ,83,Completed
45,Checkout (Payment),43,Abandoned
45,Confirm Coverages,171,Completed
45,Plan Selection,88,Completed
46,Add User and Car info ,69,Completed
46,Checkout (Payment),17,Abandoned
46,Confirm Coverages,182,Completed
46,Plan Selection,233,Completed
47,Add User and Car info ,87,Completed
47,Checkout (Payment),137,Abandoned
47,Confirm Coverages,92,Completed
47,Plan Selection,153,Completed
48,Add User and Car info ,102,Completed
48,Checkout (Payment),138,Abandoned
48,Confirm Coverages,50,Completed
48,Plan Selection,174,Completed
49,Add User and Car info ,59,Completed
49,Checkout (Payment),110,Abandoned
49,Confirm Coverages,164,Abandoned
